19930910T,0.3,0.3,0.3,0.3,0.0
19940905T,0.32,0.32,0.32,0.32,0.0
19940912T,0.28,0.28,0.28,0.28,0.0
19931001T,0.26,0.26,0.26,0.26,0.0
19931008T,0.29,0.29,0.29,0.29,0.0
19941003T,0.31,0.31,0.31,0.31,0.0
19941010T,0.42,0.42,0.42,0.42,0.0
19951005T,0.43,0.43,0.43,0.43,0.0
19931104T,0.32,0.32,0.32,0.32,0.0
19931111T,0.35,0.35,0.35,0.35,0.0
19941106T,0.34,0.34,0.34,0.34,0.0
19941112T,0.45,0.45,0.45,0.45,0.0
19931202T,0.33,0.33,0.33,0.33,0.0
19931209T,0.37,0.37,0.37,0.37,0.0
19941204T,0.33,0.33,0.33,0.33,0.0
19941211T,0.36,0.36,0.36,0.36,0.0
19951206T,0.44,0.44,0.44,0.44,0.0
19940106T,0.4,0.4,0.4,0.4,0.0
19950101T,0.38,0.38,0.38,0.38,0.0
19950108T,0.48,0.48,0.48,0.48,0.0
19960103T,0.41,0.41,0.41,0.41,0.0
19940203T,0.38,0.38,0.38,0.38,0.0
19940210T,0.49,0.49,0.49,0.49,0.0
19950205T,0.4,0.4,0.4,0.4,0.0
19950212T,0.41,0.41,0.41,0.41,0.0
19940303T,0.31,0.31,0.31,0.31,0.0
19940310T,0.29,0.29,0.29,0.29,0.0
19950305T,0.24,0.24,0.24,0.24,0.0
19950312T,0.29,0.29,0.29,0.29,0.0
19960307T,0.23,0.23,0.23,0.23,0.0
19940407T,0.28,0.28,0.28,0.28,0.0
19950402T,0.29,0.29,0.29,0.29,0.0
19950409T,0.26,0.26,0.26,0.26,0.0
19960404T,0.27,0.27,0.27,0.27,0.0
19940505T,0.32,0.32,0.32,0.32,0.0
19940512T,0.38,0.38,0.38,0.38,0.0
19950507T,0.22,0.22,0.22,0.22,0.0
19960502T,0.29,0.29,0.29,0.29,0.0
19940602T,0.39,0.39,0.39,0.39,0.0
19940609T,0.28,0.28,0.28,0.28,0.0
19950604T,0.32,0.32,0.32,0.32,0.0
19950611T,0.29,0.29,0.29,0.29,0.0
19960606T,0.32,0.32,0.32,0.32,0.0
19940707T,0.28,0.28,0.28,0.28,0.0
19950702T,0.25,0.25,0.25,0.25,0.0
